Total Males Females Infected
5 3 2 0
5 3 2 0
7 4 3 0
9 4 5 0
12 6 6 0
17 10 7 0
23 13 10 0
30 17 13 0
40 23 17 1
52 25 27 2
67 32 35 4
84 44 40 8
108 56 52 16
133 65 68 32
152 75 77 63
159 77 82 126
157 75 82 157
157 75 82 157
157 75 82 157
157 75 82 157
157 75 82 157
157 75 82 157
157 75 82 157
157 75 82 157
157 75 82 157
157 75 82 157
157 75 82 157
157 75 82 157
157 75 82 157
157 75 82 157
157 75 82 157
157 75 82 157
157 75 82 157
157 75 82 157
157 75 82 157
157 75 82 157
157 75 82 157
157 75 82 157
157 75 82 157
157 75 82 157
157 75 82 157
157 75 82 157
157 75 82 157
157 75 82 157
157 75 82 157
157 75 82 157
157 75 82 157
157 75 82 157
157 75 82 157
157 75 82 157
157 75 82 157
157 75 82 157
157 75 82 157
157 75 82 157
157 75 82 157
156 75 81 156
153 72 81 153
145 68 77 145
138 64 74 138
128 58 70 128
116 56 60 116
101 49 52 101
80 35 45 80
56 23 33 56
30 13 17 30
8 2 6 8
0 0 0 0
