Total Males Females Infected
5 4 1 0
5 4 1 0
6 5 1 0
7 5 2 0
8 5 3 0
10 6 4 0
13 7 6 0
17 11 6 0
23 14 9 0
29 18 11 0
38 24 14 0
43 24 19 1
56 31 25 3
73 41 32 6
95 55 40 12
119 70 49 24
144 85 59 48
158 92 66 95
157 92 65 157
157 92 65 157
157 92 65 157
157 92 65 157
157 92 65 157
157 92 65 157
157 92 65 157
157 92 65 157
157 92 65 157
157 92 65 157
157 92 65 157
157 92 65 157
157 92 65 157
157 92 65 157
157 92 65 157
157 92 65 157
157 92 65 157
157 92 65 157
157 92 65 157
157 92 65 157
157 92 65 157
157 92 65 157
157 92 65 157
157 92 65 157
157 92 65 157
157 92 65 157
157 92 65 157
157 92 65 157
157 92 65 157
157 92 65 157
157 92 65 157
157 92 65 157
157 92 65 157
157 92 65 157
157 92 65 157
157 92 65 157
157 92 65 157
157 92 65 157
157 92 65 157
157 92 65 157
153 89 64 153
146 85 61 146
140 81 59 140
131 75 56 131
121 71 50 121
108 64 44 108
90 53 37 90
67 39 28 67
42 24 18 42
15 8 7 15
0 0 0 0
