Total Males Females Infected
5 2 3 0
5 2 3 0
8 5 3 0
11 6 5 0
14 7 7 0
19 11 8 0
26 15 11 0
34 20 14 0
45 26 19 0
59 28 31 0
78 35 43 0
101 42 59 1
140 62 78 2
193 93 100 4
262 125 137 8
352 166 186 15
472 235 237 30
622 305 317 66
804 418 386 132
999 527 472 259
575 331 244 246
601 343 258 493
600 343 257 600
600 343 257 600
600 343 257 600
600 343 257 600
600 343 257 600
600 343 257 600
600 343 257 600
600 343 257 600
600 343 257 600
600 343 257 600
600 343 257 600
600 343 257 600
600 343 257 600
600 343 257 600
600 343 257 600
600 343 257 600
600 343 257 600
600 343 257 600
600 343 257 600
600 343 257 600
600 343 257 600
600 343 257 600
600 343 257 600
600 343 257 600
600 343 257 600
600 343 257 600
600 343 257 600
600 343 257 600
600 343 257 600
600 343 257 600
600 343 257 600
600 343 257 600
600 343 257 600
600 343 257 600
600 343 257 600
600 343 257 600
600 343 257 600
600 343 257 600
600 343 257 600
600 343 257 600
593 340 253 593
570 328 242 570
541 308 233 541
502 286 216 502
461 261 200 461
398 225 173 398
309 181 128 309
218 125 93 218
110 57 53 110
26 12 14 26
0 0 0 0
