Total Males Females Infected
5 4 1 0
5 4 1 0
6 5 1 0
7 6 1 0
8 6 2 0
9 7 2 0
11 8 3 0
13 8 5 0
16 9 7 0
21 10 11 0
28 15 13 0
33 14 19 1
44 21 23 2
60 33 27 5
76 42 34 10
94 52 42 21
114 63 51 42
126 70 56 83
125 69 56 125
125 69 56 125
125 69 56 125
125 69 56 125
125 69 56 125
125 69 56 125
125 69 56 125
125 69 56 125
125 69 56 125
125 69 56 125
125 69 56 125
125 69 56 125
125 69 56 125
125 69 56 125
125 69 56 125
125 69 56 125
125 69 56 125
125 69 56 125
125 69 56 125
125 69 56 125
125 69 56 125
125 69 56 125
125 69 56 125
125 69 56 125
125 69 56 125
125 69 56 125
125 69 56 125
125 69 56 125
125 69 56 125
125 69 56 125
125 69 56 125
125 69 56 125
125 69 56 125
125 69 56 125
125 69 56 125
125 69 56 125
125 69 56 125
125 69 56 125
125 69 56 125
125 69 56 125
123 69 54 123
119 68 51 119
114 67 47 114
107 62 45 107
97 59 38 97
86 52 34 86
69 39 30 69
52 29 23 52
33 19 14 33
13 8 5 13
0 0 0 0
