Total Males Females Infected
5 2 3 0
5 2 3 0
8 3 5 0
11 6 5 0
16 9 7 1
21 11 10 2
26 13 13 4
31 15 16 8
35 17 18 17
35 17 18 34
35 17 18 35
35 17 18 35
35 17 18 35
35 17 18 35
35 17 18 35
35 17 18 35
35 17 18 35
35 17 18 35
35 17 18 35
35 17 18 35
35 17 18 35
35 17 18 35
35 17 18 35
35 17 18 35
35 17 18 35
35 17 18 35
35 17 18 35
35 17 18 35
35 17 18 35
35 17 18 35
35 17 18 35
35 17 18 35
35 17 18 35
35 17 18 35
35 17 18 35
35 17 18 35
35 17 18 35
35 17 18 35
35 17 18 35
35 17 18 35
35 17 18 35
35 17 18 35
35 17 18 35
35 17 18 35
35 17 18 35
35 17 18 35
35 17 18 35
35 17 18 35
35 17 18 35
35 17 18 35
35 17 18 35
30 15 15 30
30 15 15 30
27 14 13 27
24 11 13 24
19 8 11 19
14 6 8 14
9 4 5 9
4 2 2 4
0 0 0 0
