Total Males Females Infected
5 3 2 0
5 3 2 0
7 3 4 0
9 4 5 0
13 5 8 0
18 7 11 0
26 12 14 0
37 17 20 0
51 24 27 2
70 35 35 4
95 49 46 8
117 61 56 16
144 76 68 32
172 92 80 64
191 102 89 129
190 101 89 190
190 101 89 190
190 101 89 190
190 101 89 190
190 101 89 190
190 101 89 190
190 101 89 190
190 101 89 190
190 101 89 190
190 101 89 190
190 101 89 190
190 101 89 190
190 101 89 190
190 101 89 190
190 101 89 190
190 101 89 190
190 101 89 190
190 101 89 190
190 101 89 190
190 101 89 190
190 101 89 190
190 101 89 190
190 101 89 190
190 101 89 190
190 101 89 190
190 101 89 190
190 101 89 190
190 101 89 190
190 101 89 190
190 101 89 190
190 101 89 190
190 101 89 190
190 101 89 190
190 101 89 190
190 101 89 190
190 101 89 190
190 101 89 190
190 101 89 190
190 101 89 190
189 101 88 189
186 100 86 186
180 98 82 180
172 93 79 172
161 88 73 161
147 81 66 147
128 70 58 128
103 56 47 103
76 41 35 76
49 26 23 49
19 10 9 19
0 0 0 0
