Total Males Females Infected
5 2 3 0
5 2 3 0
8 3 5 0
11 5 6 0
16 8 8 0
22 12 10 0
30 16 14 0
40 22 18 1
53 25 28 2
67 33 34 4
89 45 44 8
108 53 55 14
131 61 70 30
157 75 82 61
169 79 90 121
167 78 89 167
167 78 89 167
167 78 89 167
167 78 89 167
167 78 89 167
167 78 89 167
167 78 89 167
167 78 89 167
167 78 89 167
167 78 89 167
167 78 89 167
167 78 89 167
167 78 89 167
167 78 89 167
167 78 89 167
167 78 89 167
167 78 89 167
167 78 89 167
167 78 89 167
167 78 89 167
167 78 89 167
167 78 89 167
167 78 89 167
167 78 89 167
167 78 89 167
167 78 89 167
167 78 89 167
167 78 89 167
167 78 89 167
167 78 89 167
167 78 89 167
167 78 89 167
167 78 89 167
167 78 89 167
167 78 89 167
167 78 89 167
167 78 89 167
167 78 89 167
167 78 89 167
166 77 89 166
162 75 87 162
154 70 84 154
146 66 80 146
136 60 76 136
123 57 66 123
109 49 60 109
87 37 50 87
64 28 36 64
40 19 21 40
13 4 9 13
0 0 0 0
