Total Males Females Infected
5 3 2 0
5 3 2 0
7 4 3 0
9 6 3 0
12 7 5 0
15 9 6 0
20 11 9 0
26 16 10 0
35 21 14 0
45 22 23 0
59 28 31 0
75 30 45 1
103 44 59 2
142 56 86 4
194 82 112 9
268 121 147 18
355 168 187 38
462 230 232 80
571 285 286 157
666 337 329 311
674 342 332 612
673 342 331 673
673 342 331 673
673 342 331 673
673 342 331 673
673 342 331 673
673 342 331 673
673 342 331 673
673 342 331 673
673 342 331 673
673 342 331 673
673 342 331 673
673 342 331 673
673 342 331 673
673 342 331 673
673 342 331 673
673 342 331 673
673 342 331 673
673 342 331 673
673 342 331 673
673 342 331 673
673 342 331 673
673 342 331 673
673 342 331 673
673 342 331 673
673 342 331 673
673 342 331 673
673 342 331 673
673 342 331 673
673 342 331 673
673 342 331 673
673 342 331 673
673 342 331 673
673 342 331 673
673 342 331 673
673 342 331 673
673 342 331 673
673 342 331 673
673 342 331 673
673 342 331 673
671 342 329 671
653 336 317 653
631 331 300 631
603 317 286 603
562 304 258 562
508 276 232 508
431 236 195 431
341 187 154 341
230 123 107 230
117 66 51 117
16 10 6 16
0 0 0 0
